id,name,industry,source,lead_status,notes,ma_status,international,locations,company_type,description,product_line,state,city,revenue,website,employees,franchise,top_franchise,demography,ticket,activities,membership,geo_focus,indoor_outdoor,col_25
1,Luv 2 Play Az LLC,1. Indoor Kid/Toddler Play Zone,TV,Contact - No Response,Toddler 6 and under,Contacted - No Response,,14,Private Company,Luv 2 Play Az LLC is a private company headquartered in the United States that provides amusement and recreation services.,Provides amusement and recreation services,Arizona,-,-,https://luv2play.com/phoenix/,-,Yes,No,Kids,Ultimate Membership: $38 - $98. Parties: $69 - $495. Field Trip: $6 - $12,"Indoor Play, Parties, Field Trips and Gift cards",,,,
2,Catch Air,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,Contact - No Response,,Contacted - No Response,,14,Private Company,"CatchAir is an underwater-themed indoor playground designed for children 12 and under. The facility features a soft play area for toddlers, a Tiny Town for kids under 4 feet, a three-story play structure, a ball cannon, and an interactive dance floor. It provides a safe and fun environment for children to play and explore.","Tiny Town, three-story play structure, ball cannon",New Jersey,Paramus,-,https://catchair.com/,-,,-,All age group,Price ranges from $7 to $16,"Tiny Town, three-story play structure, ball cannon",,New Jersey,-,
3,Cloud House,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,Contact - No Response,CLOUD PARK LEARNINGS,Interest - Contacted,,1,Private Company,"Facility is equipped with a range of Montessori inspired toys, a jungle gym, a hinoki cypress sensory area, and theme based learning stations",,Arizona,Phoenix,-,https://cloudhouseaz.com/,-,1,-,Upto 7 years,"Membership - $125 / month
1 Child admission - $30 / 2 hrs","Jungle Gym, Hinoki Cypress Sensory Area, Theme base Learning Stations",Yes,Arizona,Indoor,
4,Kids Empire USA LLC,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,Contact - Ongoing,Toddler 6 and under,Interest - Contacted -,,68,Holding Company,"Kids Empire USA LLC operates as children's recreation center. The company was founded by Haim Elbaz in 2017 and is headquartered in La Crescenta, CA.",Operates as children's recreation center,California,La Crescenta,1.281913,https://www.kidsempire.com/,93,No,NA,Kids,Required Deposit (Non refundable): $150.                    Kids Snack: $29.90 - $39.90. Kids Meal: $39.90 - $49.90,"Birthday Parties, Playground and Empire snack.",No,"Arizona, California, Florida, Georgia, Iowa, Illinois, Missouri, Michigan and more",Indoor,
5,Kidstopia,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,Contact - Ongoing,"Great indoor playground for 12 and under, expanding further in Utah",Interest - Discussions w/ Owner Ongoing,,2,Private Company,"Kidstopia is an indoor playground designed to stimulate children's creativity and imagination. The facility features a mix of slides, climbing structures, imaginative play areas, and sensory-rich activities. Kidstopia provides a vibrant and secure environment for children of all ages, making it a perfect place for family outings and birthday parties","Slides, climbing structures, imaginative play areas",Utah,Roy,-,https://kidstopia-us.com/,-,1,-,-,$125 per month for membership,"Slides, climbing structures, imaginative play areas",Yes,Nevada,Indoor,
6,We Play Loud,1. Indoor Kid/Toddler Play Zone,Caitlin 11/3/24,Sale Discussions - Dead,2x 12k SF parks in California,Put in touch with Roger Duncan,,2,,,,,,,,,,,,,,,,,
7,"My Gym Enterprises, Inc.",1. Indoor Kid/Toddler Play Zone,TV,Contact - Preliminary,,Strategic Partnership?,,75,Private Company,"My Gym Enterprises, Inc. owns and operates fitness centers. It develops a program and facility devised to help children 6 weeks thru 10 years of age develop physically, cognitively and emotionally. The company was founded by Monique Vranesh and Jamie Bertisch in 1995 and is headquartered in Sherman Oaks, CA.",My Gym Enterprises is a leading fitness center recreation company located in Sherman Oaks.,California,Sherman Oaks,<5.0,http://www.mygym.com,25,Yes,Top Franchise (4/10) 2023,Upto 14 years,$29 for 1 week,"Gymnastics, martial arts, Jr. Ninja among others",,,,
8,Complete Playground,1. Indoor Kid/Toddler Play Zone,Caitlin - 1/1/25,No Contact - Interest,40k SF,interest,,1,,,,,,,,,,,,,,,,,
9,Cheeky Monkeys,1. Indoor Kid/Toddler Play Zone,TV,No Contact - Interest,Toddler 6 and under,Interest,,8,,,,,,,https://www.cheekymonkeys.us/,,,,Kids,,,,,,
10,Go Playland,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,No Contact - Interest,,Interest,,7,Private Company,"Go Playland is an indoor playground designed to provide a fun and safe environment for children to explore, play, and create lasting memories. They offer a variety of engaging activities, including climbing walls, interactive play structures, and a drop-in ball pit",,New Jersey,Freehold,-,https://goplayland.com/,-,-,-,Kids and Children,$20.0 - $99.0,-,-,-,-,
11,Gymboree,1. Indoor Kid/Toddler Play Zone,TV,No Contact - Interest,,Interest,,700,Private Company,"Gymboree Play & Music classes incorporate age-appropriate activities that help children develop physical, cognitive, and social skills as they play.","Play & Music , Activities",District of Columbia,Dupont circle,$2.8 billion,https://www.gymboreeclasses.com/,10129,,0,0-5 years,$25 - $450,"Play & Music , Activities",,District of Columbia,Indoor,
12,Hyper Kidz,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,No Contact - Interest,"doing well; SZ franchisee in Decatur, GA said his friend owns one (discussed with Kevin Murray)",interest,,6,Private Company,"Hyper Kidz is a private indoor playground designed to provide a fun, safe, and engaging environment for children. The facility features multiple play zones catering to different age groups, including soft foam play equipment, interactive LED dance floors, giant pin screens, and multi-level play structures. They offer open play sessions, birthday parties, and special events",,Maryland,Rockville,<5.0,https://www.hyperkidzplay.com/,51-200,Yes,-,Upto 13 years,$7.99 - $16.99,"Open Play, Birthday Parties, special Events",,Rockville,Indoor,
13,KidZania,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,No Contact - Interest,discussed with JRA,interest,,1,Private Company,"A city made by kids , run by kids","Plane avaiation , dance , games , rock climbing , café",Texas,Dallas,$28 million,https://dallas.kidzaniausa.com/,0,1,0,1> years,$14.95 - $47.95,"Plane avaiation , dance , games , rock climbing , café",,Texas,Indoor/ outdoor,
14,State of Play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,No Contact - Interest,,interest,,1,Private Company,"State of Play is an indoor playground in Bozeman designed specifically for young children. The facility offers various play areas, a reading nook, an art room, play forts, and a glow cave. It also includes a co-working space for parents, allowing them to work while their children play under supervision. The curated play zones provide a stimulating and engaging environment for children up to age six.","Play areas, reading nook, art room, play forts, glow cave.",Montana,Bozeman,-,https://www.onlyinyourstate.com/experiences/montana/massive-indoor-playground-mt,-,1,-,-,$29.99 per month,"Play areas, reading nook, art room, play forts, glow cave.",,Montana,Indoor,
15,"The Little Gym International, Inc.",1. Indoor Kid/Toddler Play Zone,TV,No Contact - Interest,Programmatic,Interest,,103,Private Company,"The Little Gym of Katy is an activity center for children that specializes in building motor skills through activities like tumbling, gymnastics and dance. Other programs include Birthday Parties, Parents' Night, Camps and Parent/Child Classes.",The Little Gym of Katy provides a fun space for kids of all ages to play and do activities.,Texas,Bedford,102.4,http://www.thelittlegym.com,-,Yes,Top Franchise 6/10 (2023),Upto 12 years,NA,Gymnastics & Dance,,,,
16,We Rock The Spectrum,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,No Contact - Interest,,interest,,174,Private Company,"We Rock the Spectrum Kids Gym is committed to providing a safe, nurturing, and fun environment for ALL KIDS, to foster learning, exploration and safe sensory experiences","Open Play, Birthday Parties, Classes, Special events etc.",California,Tarzana,49,https://www.wrtsfranchise.com/,-,Yes,-,-,$12.0 - $15.0 per hour,"Open Play, Birthday Parties, Classes, Special events etc.",,International,Indoor,
17,Wondergarden Indoor playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,No Contact - Interest,,interest,,1,Private Company,"Wondergarden is  a unique indoor play and party space for children 0-6 years! Come in for Open Play, baby classes and toddler classes, special events, and more! Single-day tickets, monthly memberships, and play packs are available. No charge for adults!","events , games , birthday , food",Florida,Royal Palm Beach,0,https://wondergardenfl.com/,0,1,0,0-6 years,$20 - $35,"events , games , birthday , food",Yes,Florida,Indoor,
18,Wonderland Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,No Contact - Interest,,interest,,1,Private Company,"Wonderland is a modern brand that provides an indoor play space for families to visit and celebrate birthdays. We’ve carefully developed an opportunity that is easy to operate, technology driven and provides multiple revenue streams!","soft play area , café",Ohio,Cinncinati,<$5 million,https://wonderlandplayground.com/,2 to 10,1,0,1-8 years,<$16,"Kid's club house, playground",,Ohio,Indoor / Outdoor,
19,Funzy,1. Indoor Kid/Toddler Play Zone,Caitlin 11/26/24,No Contact - Interest,"2 locations currently; opening 2 more in NYC and LA
CLOUD PARK LEARNINGS",Interest - too small,,2,Private Company,,,,,,,,,,,,,,,,
20,Flying Apple,1. Indoor Kid/Toddler Play Zone,TV,No Contact - Interest,Toddler 6 and under,Interest - one off,,1,Private Company,"Flying Apple is an interactive soft play facility that was designed for ages 1-10 years. The activities included are Soft Play, Ball Blaster, Climbing Wall, Obstacle Course, Ball Pit, Slides, and private rooms for arranging birthday party","The activities included are Soft Play, Ball Blaster, Climbing Wall, Obstacle Course, Ball Pit, Slides, and private rooms for arranging birthday party",New York,NYC,5.2,https://www.flyingappleny.com/,-,No,NA,Kids,"$22-$30; 
3 and under $15.
1 Adult Free per Child
Additional Adult $7.99 
Additional Adult free with two children","Soft Play, Ball Blaster, Climbing Wall, Obstacle Course, Ball Pit, Slides, and private rooms for arranging birthday party",No,New York,Indoor,
21,Kanga Indoor Play center,1. Indoor Kid/Toddler Play Zone,Caitlin 6/12/24,No/Passed,pass,No/Passed,,6,Private Company,,,,,,,,,,,,,,,,
22,KidsU,1. Indoor Kid/Toddler Play Zone,Caitlin 11/26/24,No/Passed,Sent to Justin; 1 park in Port Chester NY,No/Passed,,1,,,,,,,https://kidsu.com/,,,,,,,,,,
23,"Children's Discovery Center, Inc. (South California)",1. Indoor Kid/Toddler Play Zone,TV,No/Passed,pass,No/Passed,,2,Subsidiary,"Children's Discovery Center, Inc. engages in the provision of child care services. It offers program for infant, toddler, pre-school and pre-k, school age, and enrichment. The company was founded by Lois Rosenberry in 1982 and is headquartered in Mount Pleasant, SC.",Provides child care services,South Carolina,Mount Pleasant,-,http://www.childrensdiscoverycentersc.com,-,No,NA,Kids,NA,Infant and Toddler Program (Outdoor Play),,,,
24,"Discovery Isle Child Development Center, Inc.",1. Indoor Kid/Toddler Play Zone,TV,No/Passed,childcare,No/Passed,,230,Subsidiary,"Discovery Isle Child Development Center, Inc. offers child care and educational programs for infants and children in preschool, kindergarten and the first grade. The center offers both part-time and full-time programs. It opertes in Carlsbad, La Costa, Poway, San Marcos, Temecula and Murrieta. The company was founded in 1991 and is headquartered in San Marcos, CA.",Provides child care and educational services,California,San Marcos,11.541182,http://www.discoveryisle.com,175,No,NA,Kids,NA,"Preschool, Kindergarten, Summer Camp & After School",,,,
25,Dupage children Museum,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,No/Passed,nonprofit,No/Passed,,1,Private Company,"DuPage Children's Museum is located in Naperville, Illinois. It's a nonprofit organization that has been inspiring children and their families through hands-on exhibits and programs for over 30 years","Café , game zone , indoor playground",Illinois,Naperville,$10 million,https://dupagechildrens.org/,103,1,0,Kids,0,"Café , game zone , indoor playground",,Illinois,Indoor,
26,Early Steps Learning Center LLC,1. Indoor Kid/Toddler Play Zone,TV,No/Passed,pass,No/Passed,,2,Private Company,"Early Steps Learning Center is an organization that focuses on providing childcare and early education. The center offers a variety of programs for different age groups, including infants, toddlers, preschoolers, pre-kindergarteners, and school-age children. The center's curriculum is designed to promote learning through direct, hands-on experiences with people, objects, events, and ideas. In addition to regular programs, Early Steps Learning Center also offers special summer camps. The center is committed to ensuring the privacy of its visitors and has a dedicated team of childhood education professionals.",Early Steps Learning Center is a childcare facility that offers developmental educational programmes to children aged 6 weeks to 12 years.,Ohio,Richmond,1.261817,https://www.earlystepslearningcenter.com/,15,No,NA,Kids,NA,"Infants Program, Preschool, Summer camps, and special programs, etc.",,,,
27,"Kid Time, Inc.",1. Indoor Kid/Toddler Play Zone,TV,No/Passed,pass,No/Passed,,4,Private Company,"Kid Time, Inc. owns preschools. It provides child care services. The firm offers play-based environment, child-centered philosophy, community-focuses program and kindergarten readiness classes. The company was founded by Stephen Mark Wilson in 1984 and is headquartered in Walnut Creek, CA.",Operates preschool,California,Walnut Creek,-,http://www.kidtime.co,-,No,NA,Kids,NA,"KT Preschool, KT Junior, KTS Preschool, KT Aftercare.",,,,
28,Kids Play Zone LLC,1. Indoor Kid/Toddler Play Zone,TV,No/Passed,pass,No/Passed,,1,Private Company,"Kids Play Zone is a small, family-owned and operated indoor playground and party venue.","Kids Play Zone is a small, family-owned and operated indoor playground and party venue.",California,Oakland,-,https://kidsplayzoneoakland.com,-,No,NA,Kids,Play: $15; Party plus Play package: $595,"Playing Zone, Field Trips, Parties, and special events",,,,
29,Lets Play Party,1. Indoor Kid/Toddler Play Zone,TV,No/Passed,Toddler 6 and under,No/Passed,,3,Private Company,Let’s Play Party is an indoor soft play center that caters to children aged 0-12 years. The facility is designed to provide a stimulating and enjoyable environment for children,"It features themed soft play structures, a cannon area, a spider tower, and unique net obstacle courses that exercise different muscles of the body, helping maintain orientation, flexibility, and agility",Alabama,"Birmingham, Huntsville, Hoover",,https://letsplayparty.com/,-,No,NA,Kids,"Ages 3 & Older: $16.99, Ages 1 & 2:  $13.99, Under 12 months: $7.99","A cannon area, a spider tower, and unique net obstacle courses",No,"Alabama in the cities of Hoover, Huntsville and Birmingham",Indoor,
30,Lola & Tots,1. Indoor Kid/Toddler Play Zone,Caitlin 6/7/24,No/Passed,Child care + co working to empower parents,No/Passed,,1,Private Company,,,,,,,,,,,,,,,,
